run,random_score,guided_score
1,0.000162049614417,0.0
2,4.22146054364e-05,8.17056879415e-06
3,1.36176146569e-05,0.0
4,2.72352293138e-06,0.0
5,1.49793761226e-05,2.72352293138e-06
6,8.17056879415e-06,1.36176146569e-06
7,0.000473892990061,9.53233025984e-06
8,2.31499449167e-05,2.72352293138e-06
9,6.80880732846e-05,0.0
10,1.36176146569e-05,2.72352293138e-06
11,4.76616512992e-05,9.53233025984e-06
12,0.0,4.08528439707e-05
13,2.72352293138e-06,1.63411375883e-05
14,0.0,0.0
15,0.0,2.72352293138e-06
16,2.72352293138e-06,2.72352293138e-06
17,2.72352293138e-06,6.80880732846e-05
18,1.36176146569e-05,1.63411375883e-05
19,1.36176146569e-05,8.17056879415e-06
20,0.0,1.36176146569e-06
21,2.31499449167e-05,0.0
22,8.17056879415e-06,0.0
23,9.53233025984e-06,0.0
24,0.0,0.0
25,0.0,2.72352293138e-06
26,6.67263118189e-05,2.72352293138e-05
27,4.08528439707e-06,4.08528439707e-06
28,1.90646605197e-05,2.72352293138e-06
29,0.000114387963118,1.63411375883e-05
30,0.0,1.49793761226e-05
