run,random_score,guided_score
1,172.548,182.962
2,194.758,195.776
3,182.774,181.734
4,159.606,183.172
5,173.814,193.196
6,158.204,158.984
7,171.492,183.104
8,193.952,184.776
9,180.746,155.944
10,172.592,185.71
11,181.516,181.734
12,180.45,158.636
13,194.686,183.39
14,156.336,173.74
15,164.926,182.676
16,195.776,147.982
17,183.878,172.1
18,191.876,179.694
19,182.374,153.088
20,150.11,181.734
21,182.092,153.46
22,181.038,150.51
23,181.966,166.532
24,156.664,172.956
25,181.822,146.228
26,181.966,142.084
27,186.39,147.684
28,165.75,195.776
29,172.22,153.344
30,183.926,156.43
